Tamaño de matriz,Tiempo de ejecución (ms),Suma total
323,11.6166,469920
324,12.1016,472730
325,11.5277,474612
326,11.984,478560
327,11.9734,479623
328,11.5386,485105
329,12.2409,487316
330,11.5325,489923
331,11.8665,494350
332,12.3337,495550
333,11.7859,498435
334,11.7287,502328
335,12.0292,506404
336,10.7841,508343
337,11.3522,512255
338,11.8583,514131
339,11.571,517597
340,11.7874,519463
341,11.298,524897
342,11.7253,525505
343,11.6279,527624
344,12.0209,531877
345,11.9768,535924
346,11.3178,539251
347,11.6872,540865
348,11.7464,546455
349,10.7912,548191
350,11.4984,551791
351,11.8001,553513
352,11.2303,557361
353,10.9529,559530
354,11.3557,564674
355,11.3453,567858
356,10.5164,570253
357,11.2445,572781
358,11.8967,575606
359,11.8577,579699
360,10.529,583654
361,11.9434,586033
362,9.9663,588478
363,10.9205,592234
364,27.2352,595621
365,25.5017,599736
366,26.8901,602416
367,27.0216,606068
368,26.1941,610485
369,26.3459,613128
370,25.836,614723
371,25.762,617408
372,26.3039,619963
373,26.2279,626329
374,11.3369,630112
375,25.2625,632264
376,10.045,637009
377,11.3887,638184
378,11.0089,644008
379,11.5847,648281
380,10.6813,651201
381,10.5664,652965
382,10.1754,655760
383,10.0847,661165
384,10.9918,662883
385,10.0165,667559
386,10.8203,671057
387,10.8173,673449
388,9.9172,677452
389,11.0853,681099
390,9.6728,684294
391,10.7198,688385
392,10.6988,690221
393,10.7589,695907
394,10.6099,699877
395,10.9897,703633
396,11.1146,706385
397,11.0988,709838
398,11.2698,713403
399,10.7236,717521
400,11.0781,721251
401,10.6607,724128
402,10.8524,729069
403,10.593,731615
404,9.7338,735140
405,10.7551,737145
406,10.0318,740946
407,10.5817,744028
408,9.9791,751408
409,26.4916,752399
410,25.9481,757579
411,25.7948,761452
412,25.8011,762156
413,26.0191,767106
414,26.359,774126
415,25.8093,774065
416,25.3983,777826
417,25.7519,781680
418,24.263,786657
419,25.6685,790209
420,25.7279,793158
421,24.7052,797399
422,25.1428,801111
423,24.826,806793
424,10.1245,808208
425,10.3587,813385
426,9.8953,819244
427,11.0632,821166
428,10.1139,825580
429,10.0863,827356
430,9.9861,831625
431,10.4065,837503
432,9.2145,840290
433,10.3654,841580
434,10.2284,848201
435,9.3741,851196
436,10.255,853365
437,9.5016,858132
438,10.1471,865747
439,9.4196,867821
440,9.7948,873730
441,9.944,874356
442,9.7868,879030
443,10.1141,882291
444,9.8447,888277
445,9.2549,892251
446,9.7691,896813
447,10.307,898989
448,9.6983,904037
449,9.2691,908094
450,9.3974,910430
451,9.6534,916535
452,9.7633,919225
453,9.6981,924339
454,9.9662,928473
455,8.9967,931927
456,9.3693,936292
457,9.6568,939552
458,8.8258,946215
459,8.6632,950033
460,9.9724,950649
461,9.6485,955195
462,9.7151,962818
463,9.5291,964823
464,9.1316,972534
465,9.2559,972853
466,9.5532,976912
467,9.0483,980808
468,8.5854,986413
469,9.5939,990207
470,9.7588,993587
471,7.7401,999914
472,8.9409,1003702
473,9.2093,1005563
474,9.1079,1012789
475,24.9708,1015264
476,24.4273,1020709
477,23.9426,1023062
478,24.5484,1027896
479,22.881,1032345
480,23.5892,1037793
481,23.2094,1041565
482,23.8195,1044931
483,23.4299,1051384
484,24.3203,1052309
485,23.3675,1060151
486,9.3099,1061981
487,8.6863,1068880
488,7.9299,1070298
489,8.4927,1075573
490,8.9702,1081873
491,8.8916,1086385
492,8.589,1089396
493,9.2537,1093756
494,7.8403,1098544
495,9.051,1103153
496,7.2259,1106079
