Tamaño de matriz,Tiempo de ejecución (ms),Suma total
1,0.5387,6
2,0.8019,17
3,1.3294,50
4,1.8922,83
5,2.792,125
6,3.8021,146
7,4.7244,203
8,5.605,285
9,7.1195,359
10,8.7122,430
